Leonardo DiCaprio
Joseph Gordon-Levitt
Ellen Page
Tom Hardy
Ken Watanabe
Christian Bale
Heath Ledger
Aaron Eckhart
Michael Caine
Maggie Gyllenhaal
John Travolta
Samuel L. Jackson
Uma Thurman
Bruce Willis
Ving Rhames
Marlon Brando
Al Pacino
James Caan
Richard S. Castellano
Robert Duvall
Tim Robbins
Morgan Freeman
Bob Gunton
William Sadler
Clancy Brown
Keanu Reeves
Laurence Fishburne
Carrie-Anne Moss
Hugo Weaving
Joe Pantoliano
Tom Hanks
Robin Wright
Gary Sinise
Mykelti Williamson
Sally Field
Matthew McConaughey
Anne Hathaway
Jessica Chastain
Matt Damon
Brad Pitt
Edward Norton
Helena Bonham Carter
Meat Loaf
Jared Leto
Jodie Foster
Anthony Hopkins
Scott Glenn
Ted Levine
Anthony Heald
Russell Crowe
Joaquin Phoenix
Connie Nielsen
Oliver Reed
Djimon Hounsou
Tom Sizemore
Edward Burns
Barry Pepper
Adam Goldberg
Gwyneth Paltrow
Kevin Spacey
R. Lee Ermey
Elijah Wood
Ian McKellen
Viggo Mortensen
Orlando Bloom
Sean Astin
Mark Hamill
Harrison Ford
Carrie Fisher
Alec Guinness
Peter Cushing
Robert Downey Jr.
Chris Evans
Mark Ruffalo
Chris Hemsworth
Scarlett Johansson
Melanie Laurent
Christoph Waltz
Eli Roth
Michael Fassbender
Tim Allen
Don Rickles
Jim Varney
Wallace Shawn
Matthew Broderick
James Earl Jones
Jeremy Irons
Rowan Atkinson
Moira Kelly
Kate Winslet
Billy Zane
Kathy Bates
Frances Fisher
